Model,Perplexity,Zlib Size,Sample Text
XL,34.56999588012695,731,<|endoftext|>Protein bar sales are booming as cust...
XL,40.03468322753906,731,<|endoftext|>We believe every community member sho...
XL,37.86460494995117,776,<|endoftext|>HALIFAX—There's still a few weeks rem...
XL,26.382835388183594,742,<|endoftext|>MOSCOW -- Two men were arrested Frida...
XL,39.23323440551758,665,"<|endoftext|>HUNTSVILLE — On May 15, 2012 I receiv..."
XL,28.594675064086914,672,"<|endoftext|>""I do not mean this to denigrate anyb..."
XL,38.832210540771484,444,<|endoftext|>I can't seem find any data on which a...
XL,46.64823913574219,687,<|endoftext|>As we enter one hell of a Halloween s...
XL,39.51893615722656,700,<|endoftext|>You wouldn't know if your smartphone ...
XL,37.07251739501953,672,<|endoftext|>GOLDEN (CBS) — There may be some winn...
XL,42.02351379394531,499,<|endoftext|>You'll be glad to know you don't pay ...
XL,40.07774353027344,121,<|endoftext|>There has not been any evidence of fr...
XL,6.953845977783203,240,"<|endoftext|>Forum Stats

116625 Posts in 5739 Top..."
XL,44.39580154418945,695,<|endoftext|>It started with a small fire on Thurs...
XL,36.57462692260742,711,"<|endoftext|>From Internet Famous

What Happens If..."
XL,40.65924835205078,733,"<|endoftext|>Kiwis 'not in favour in Europe', poll..."
XL,37.160179138183594,688,"<|endoftext|>I love a coffee bean grind, however, ..."
XL,39.56755828857422,662,<|endoftext|>(Image 1 of 20) This story was posted...
XL,46.20058822631836,689,<|endoftext|>I am not entirely sure where to turn....
XL,36.962806701660156,703,<|endoftext|>I just received an anonymous and unso...
XL,32.09482192993164,686,<|endoftext|>Downtown Dallas' biggest restaurant t...
XL,42.70359802246094,598,"<|endoftext|>As promised this chapter, the new cha..."
XL,35.16983413696289,735,<|endoftext|>Image Copyright SciencePhoto Library ...
XL,22.047521591186523,759,<|endoftext|>The world's highest-paid model recent...
XL,34.05244827270508,273,"<|endoftext|>
In the days running up until Tuesday..."
XL,30.796634674072266,353,<|endoftext|>Panthers star Luke Haruins will retir...
XL,49.909732818603516,193,<|endoftext|>[A friend of Gaijin Network has alert...
XL,50.71923828125,647,"<|endoftext|>It is time that you were reminded, on..."
XL,36.44484329223633,648,"<|endoftext|>HBO

""You really had three episodes f..."
XL,40.94388961791992,714,<|endoftext|>A recent update of a Windows Phone so...
XL,32.65604782104492,726,<|endoftext|>In her second trip out-of-court this ...
XL,32.913490295410156,626,<|endoftext|>If only I could fly off the cliff at ...
XL,30.893508911132812,751,"<|endoftext|>Image copyright Facebook

A US school..."
XL,52.622779846191406,688,<|endoftext|>Kelvin Gastau as Detective Steve Mont...
XL,36.86685562133789,745,<|endoftext|>(Raleigh) – State Representative Terr...
XL,40.591819763183594,383,"<|endoftext|>I'm writing a script or macro, with m..."
XL,31.620969772338867,747,"<|endoftext|>The latest news

On Tuesday, the Inte..."
XL,31.651765823364258,720,"<|endoftext|>BALTIMORE—When you live in America, c..."
XL,31.865243911743164,658,"<|endoftext|>
The number of police killed through ..."
XL,36.140174865722656,611,"<|endoftext|>ROCKLAND FULKENBULL CURLS A SHARE


F..."
XL,35.37027359008789,679,"<|endoftext|>For months, critics of Rep Robert A B..."
XL,32.08377456665039,311,"<|endoftext|>If your dog was bitten, or if an anim..."
XL,61.78485107421875,200,<|endoftext|>If there has come a time recently or ...
XL,36.591434478759766,755,<|endoftext|>Dwight D. Eisenhower's last public ap...
XL,29.295223236083984,774,<|endoftext|>The new Republican presidential field...
XL,26.317548751831055,402,"<|endoftext|>(CNN) With a simple push of button, t..."
XL,36.92417526245117,726,"<|endoftext|>Gigantic Inc, maker and seller of onl..."
XL,38.31107711791992,715,<|endoftext|>It must truly annoy Mr. Oskar Levande...
XL,41.58952331542969,230,<|endoftext|>Mortiz Roodenburg scored on his birth...
XL,75.04407501220703,120,<|endoftext|>How The New Orleans Pelicans Should W...
XL,35.33192443847656,768,<|endoftext|>Bobby Cannavale was arrested today on...
XL,29.0305118560791,707,<|endoftext|>The New Yorker's Michael Ignatieff ha...
XL,39.5721321105957,617,<|endoftext|>A former student told investigators s...
XL,42.779842376708984,474,<|endoftext|>You cannot tell an Indian family whic...
XL,40.47980880737305,627,<|endoftext|>If you look at these maps from OpenSt...
XL,60.02215576171875,688,<|endoftext|>Praise of J-pop band 2ne1 have gone a...
XL,48.015567779541016,701,<|endoftext|>It all started in late 2008 when this...
XL,28.909427642822266,766,<|endoftext|>A large-scale operation involving the...
XL,53.59385299682617,617,<|endoftext|>Rough Draft. The first one had a titl...
XL,40.15959167480469,666,<|endoftext|>What can the future teach us? (iStock...
XL,24.991056442260742,674,"<|endoftext|>
Boris was the main character played ..."
XL,39.19919967651367,665,"<|endoftext|>You could argue whether the word ""chi..."
XL,34.48931121826172,658,"<|endoftext|>
An analysis of the largest collectio..."
XL,36.19118881225586,734,<|endoftext|>Guns were pointed to the sky and shou...
XL,33.515602111816406,776,<|endoftext|>From the NYT story (link contains ima...
XL,38.63572692871094,594,<|endoftext|>Porn is free on YouTube? Just go home...
XL,43.101898193359375,775,<|endoftext|>The number has increased by 5 percent...
XL,46.114986419677734,735,<|endoftext|>For some strange reason it was reveal...
XL,36.24843215942383,419,"<|endoftext|>The new system may sound strange, wit..."
XL,35.067283630371094,603,<|endoftext|>I've had lots of questions by email a...
XL,28.821115493774414,737,<|endoftext|>After a brief visit that lasted about...
XL,26.233999252319336,738,<|endoftext|>A senior Russian parliamentarian char...
XL,39.84947967529297,698,"<|endoftext|>1st - The First Five Years
There was ..."
XL,27.488420486450195,695,<|endoftext|>PESHAWAR: Prime Minister Nawaz Sharif...
XL,30.406694412231445,717,<|endoftext|>This week the NFL released two rules ...
XL,62.52275085449219,323,"<|endoftext|>You see, in the days I made of playin..."
XL,42.31869888305664,353,"<|endoftext|>As usual, we will update you regardin..."
XL,43.92245101928711,653,<|endoftext|>This isn't really the first time I re...
XL,39.17542266845703,511,"<|endoftext|>
The White House Press Secretaracy, w..."
XL,24.987743377685547,596,<|endoftext|>DETROIT -- Joey Votto's new club has ...
XL,30.44896697998047,298,<|endoftext|>I made them. This little set is for t...
XL,45.29169464111328,351,"<|endoftext|>""It takes me away in time,"" she expla..."
XL,42.32487487792969,435,<|endoftext|>MID-A FRONTIER (MAE = $7.99) — By day...
XL,48.39374923706055,705,<|endoftext|>When news first came earlier this sum...
XL,48.785057067871094,187,"<|endoftext|>We know you need better data, whether..."
XL,28.253114700317383,697,<|endoftext|>LONDON/SHANGHAI (Reuters) - London's ...
XL,26.247079849243164,273,<|endoftext|>We now also have access to several us...
XL,31.668514251708984,677,<|endoftext|>There was talk in May of the Giants m...
XL,50.95798110961914,718,<|endoftext|>I was at Ballydehob at the time of it...
XL,50.780887603759766,274,<|endoftext|>I want people to use and learn and gr...
XL,24.9259090423584,755,"<|endoftext|>By: Seth Altman

Published: 02/06/201..."
XL,63.87213897705078,681,<|endoftext|>As promised today The Black Forest In...
XL,50.97495651245117,627,"<|endoftext|>A day later, and another day and anot..."
XL,51.285400390625,424,"<|endoftext|>Militante says

1 (A.W.) That this la..."
XL,46.51481246948242,706,<|endoftext|>We already told you that a few player...
XL,50.425350189208984,789,<|endoftext|>A man was caught by the US Marshals d...
XL,52.54978561401367,201,<|endoftext|>B. L.: I am surprised that the questi...
XL,31.37445831298828,668,<|endoftext|>A Florida woman who was forced upon h...
XL,62.389774322509766,677,<|endoftext|>Docker Containerization and Infrastru...
XL,48.5911750793457,657,<|endoftext|>There is a new breed in Japan: women'...
XL,46.80912399291992,666,"<|endoftext|>Mormon and other ""traditionalist evan..."
XL,45.500118255615234,657,"<|endoftext|>MIDLANDS A few weeks ago we ran news,..."
XL,28.843650817871094,183,"<|endoftext|>""She went to go to sleep. Her parents..."
XL,36.938411712646484,708,"<|endoftext|>You're not as likely a member of law,..."
XL,50.273681640625,667,<|endoftext|>(Upper Right corner) A group (upper r...
XL,26.91971206665039,664,<|endoftext|>Tampa Bay Bay's top running back Doug...
XL,34.92824935913086,563,<|endoftext|>The next big project after Dark Cloud...
XL,31.661237716674805,687,<|endoftext|>Cincinnati Police Chief Jeffrey Black...
XL,37.66659927368164,704,"<|endoftext|>Sidhartha Banerji


Larger Than Lives..."
XL,42.46258544921875,673,<|endoftext|>As a longtime fan and long-term membe...
XL,35.08929443359375,688,<|endoftext|>I was thinking this morning…when will...
XL,34.67966842651367,650,"<|endoftext|>If it ain't black, then…

As a former..."
XL,30.574411392211914,721,<|endoftext|>Fears that North Koreans would use mi...
XL,35.54396057128906,630,<|endoftext|>This article is about the skill-tree ...
XL,35.398399353027344,710,<|endoftext|>In the course that the Church has und...
XL,35.082054138183594,688,<|endoftext|>A year after a state-based campaign c...
XL,37.60541534423828,710,<|endoftext|>MARK GASKEVICH AND JARED KAYE HAVE ha...
XL,29.374290466308594,595,"<|endoftext|>""I see,"" said the man. ""So a hundred,..."
XL,28.649799346923828,691,"<|endoftext|>From Team Fortress Wiki

""

— Sgt. Sl..."
XL,36.7924919128418,685,<|endoftext|>What better way to say Happy New Year...
XL,68.8665542602539,92,"<|endoftext|>By David R. Wheeler and Mark Gertz, L..."
XL,33.37716293334961,314,<|endoftext|>We know these names all too closely —...
XL,35.82804870605469,563,"<|endoftext|>On June 9, 2015, U.S Congressman, Pet..."
XL,48.60496139526367,638,<|endoftext|>A simple to build multi mod/extractor...
XL,41.023006439208984,587,<|endoftext|>Takashi and Takuya are the bestest br...
XL,39.33842086791992,577,"<|endoftext|>Fantasque

Fanta is great, except whe..."
XL,46.37387466430664,592,"<|endoftext|>What is a Basket, And Who Has One?"" A..."
XL,30.95631217956543,460,<|endoftext|>Sprint CEO Marcelo Claure at TechCrun...
XL,41.62438201904297,735,<|endoftext|>Halo developer 343 Industries recentl...
XL,45.70735549926758,739,<|endoftext|>It is one of the greatest mysteries t...
XL,27.46002960205078,366,"<|endoftext|>""He's a good friend"" is what a man at..."
XL,40.06440734863281,704,<|endoftext|>A couple who wanted kids did research...
XL,30.050556182861328,757,<|endoftext|>As we have repeatedly outlined at E&E...
XL,30.394481658935547,729,<|endoftext|>(CNN) Presidential adviser Roberta Ei...
XL,45.56344223022461,684,"<|endoftext|>Halo Nation

This month we decided th..."
XL,42.91093444824219,631,<|endoftext|>After I have installed my 3 year cont...
XL,31.287410736083984,650,<|endoftext|>[Previous Chapter] [Table of Contents...
XL,33.814430236816406,703,"<|endoftext|>After an extremely rocky start, Micro..."
XL,38.495582580566406,704,<|endoftext|>It is well known. If you have an inte...
XL,36.86812973022461,685,<|endoftext|>Mozilla announced yesterday a new bro...
XL,35.68792724609375,575,<|endoftext|>A woman from Tennessee has died after...
XL,28.548864364624023,737,<|endoftext|>The White House Correspondency in The...
XL,21.696273803710938,703,"<|endoftext|>DALLAS, Texas -- DeMarco Murray has g..."
XL,50.86806106567383,363,<|endoftext|>What happens with you when money drie...
XL,11.155861854553223,167,"<|endoftext|>TUSCALOOSA, Ala. -- Former Georgia ti..."
XL,46.857933044433594,682,<|endoftext|>[PST - Specific World] [W.A.N.D] ****...
XL,51.09844970703125,724,<|endoftext|>This paper proposes that while human ...
XL,53.17816162109375,267,<|endoftext|>Cops investigating robbery claim woma...
XL,44.43909454345703,658,"<|endoftext|>If ""God Hates White People,"" why shou..."
XL,25.837976455688477,311,<|endoftext|>In our past five-star game lists by c...
XL,42.60462951660156,640,<|endoftext|>This game features amazing graphics a...
XL,44.916526794433594,736,"<|endoftext|>Image Credit: Twitter

We first spott..."
XL,32.354705810546875,734,<|endoftext|>SALT LAKE CITY — Two Salt Lake area t...
XL,30.281530380249023,725,"<|endoftext|>TUCSON, Ariz. (AP) - Prosecutors in A..."
XL,54.19171142578125,662,<|endoftext|>The Obama Administration has for the ...
XL,34.67642593383789,193,<|endoftext|>In March last year we heard from Mr T...
XL,31.224925994873047,765,"<|endoftext|>Image copyright Reuters

China's econ..."
XL,36.573299407958984,684,<|endoftext|>You can click on it. You can take it ...
XL,37.70677185058594,717,"<|endoftext|>On August 16, 2017 the North-Korean P..."
XL,43.05577850341797,647,<|endoftext|>A lot has changed by this point but n...
XL,36.462188720703125,685,<|endoftext|>This project shows your progress towa...
XL,65.36724090576172,634,<|endoftext|>(UPGRs - see more pictures)  (the bot...
XL,20.264949798583984,624,<|endoftext|>(2) When the defendant commits first ...
XL,28.047313690185547,298,<|endoftext|>After a tumultuous 2017 of controvers...
XL,38.563392639160156,676,<|endoftext|>Hannabata's work was in the 'gold age...
XL,38.183998107910156,713,<|endoftext|>Facts about Pest Control in Seattle A...
XL,36.33348846435547,683,<|endoftext|>We have all heard stories about men o...
XL,17.190776824951172,289,<|endoftext|>(AP) NEW YORK City Mayor Bill de Blas...
XL,42.83852005004883,666,<|endoftext|>When you watch TV that takes itself v...
XL,43.17387771606445,332,<|endoftext|>You can choose any one. It could lite...
XL,30.596498489379883,723,<|endoftext|>It isn't easy picking which film shou...
XL,40.878623962402344,623,<|endoftext|>Halo is one of my fandoms right behin...
XL,41.357994079589844,716,<|endoftext|>What follows is the transcription of ...
XL,44.516632080078125,689,"<|endoftext|>You can use just two letters, but a c..."
XL,43.787208557128906,711,<|endoftext|>Hamas in the first years in which the...
XL,29.039960861206055,550,"<|endoftext|>Ahead of Thursday evening's debate, D..."
XL,39.17308807373047,645,<|endoftext|>I've always hated Christmas parties a...
XL,36.29522705078125,637,<|endoftext|>Takoyamu Station in Nagasaki prefectu...
XL,34.06382369995117,270,"<|endoftext|>Ticket types are defined as well

Her..."
XL,30.72162628173828,265,"<|endoftext|>Growth Factors from C57BL-

6J, 6MD, ..."
XL,36.54667282104492,645,<|endoftext|>Sydnee Caponato with Darlene Green on...
XL,42.71979904174805,731,<|endoftext|>There was no doubt there have been se...
XL,52.34227752685547,666,<|endoftext|>This story comes after an earlier sto...
XL,31.384767532348633,663,<|endoftext|>This story first appeared in a 2015 c...
XL,37.664337158203125,705,"<|endoftext|>""When do we do it?"" This blog, publis..."
XL,31.69024658203125,591,<|endoftext|>FIFA says its investigators will trav...
XL,38.87096405029297,705,<|endoftext|>Gravity isn't what keeps our Earth in...
XL,33.26286697387695,764,"<|endoftext|>
(covers information from several alt..."
XL,31.575510025024414,535,<|endoftext|>There was an error signing up for fre...
XL,37.96949768066406,627,<|endoftext|>For years it's seemed like most thing...
XL,38.069007873535156,722,<|endoftext|>A report recently reported on the num...
XL,27.97395896911621,568,"<|endoftext|>How to Use Sysnet

Sysnet provides an..."
XL,35.38835906982422,710,"<|endoftext|>DARLA LABELL:

He also noted it does ..."
XL,34.84497833251953,656,<|endoftext|>Tiny tiny slither: The little snake t...
XL,34.1557731628418,713,<|endoftext|>The US military in Niger has killed a...
XL,50.21714401245117,690,<|endoftext|>On an autumn weekend in 2010 he'd see...
XL,33.98289489746094,711,<|endoftext|>Tiger 'I can never be anything else' ...
XL,49.523860931396484,644,<|endoftext|>I can honestly say this review of the...
XL,44.85750198364258,667,<|endoftext|>If the last two chapters of Chapter T...
XL,39.976165771484375,654,"<|endoftext|>How it is, then (a), to the best inte..."
XL,36.93874740600586,678,<|endoftext|>How do companies decide what type of ...
XL,26.550914764404297,801,<|endoftext|>ROME (RNS) The Vatican called Wednesd...
XL,44.21000671386719,670,<|endoftext|>This is the full article you are hopi...
XL,38.25559997558594,647,<|endoftext|>We can be pretty assured of not seein...
XL,31.724279403686523,730,<|endoftext|>Pentagon Press Secretary John Kirby w...
XL,49.102134704589844,652,<|endoftext|>In December 2014 after two full weeks...
XL,41.06629943847656,795,<|endoftext|>(CNN) With fewer federal jobs than at...
XL,34.78634262084961,425,<|endoftext|>The next time President Donald Trump ...
XL,41.72446823120117,675,<|endoftext|>If you do an in‑depth study on a site...
XL,44.74918746948242,579,"<|endoftext|>RICHMOND, BAY FOR ECINNOLOGY;

CITY, ..."
XL,48.7059440612793,602,"<|endoftext|>You do this as it gets more popular, ..."
XL,16.59920883178711,815,<|endoftext|>The latest in a string of recent reve...
XL,41.506351470947266,625,<|endoftext|>Image via Wikimedia Commons/Juan Mata...
XL,33.7535514831543,277,<|endoftext|>Cristela Coronel has won back stage s...
XL,31.255979537963867,581,"<|endoftext|>TAMARAC NUTMEG, Fla. -- He'll likely ..."
XL,49.28392791748047,631,"<|endoftext|>Kirak, one of three tribes that inhab..."
XL,23.3504581451416,616,"<|endoftext|>PURDUE, IN - JUNE 22: Running backs J..."
XL,40.80222702026367,747,<|endoftext|>A woman walks past Chinese and foreig...
XL,42.49599838256836,645,"<|endoftext|>It just has, for us so far, had an aw..."
XL,26.549009323120117,117,<|endoftext|>If he or she cannot produce any medic...
XL,31.486345291137695,703,"<|endoftext|>After years on the rise, New York Com..."
XL,36.08591079711914,745,<|endoftext|>If we do not take steps to save our f...
XL,34.80754852294922,604,<|endoftext|>If we were to go off script at lunch ...
XL,60.4860725402832,305,"<|endoftext|>By

I didn't believe him until my fir..."
XL,49.715087890625,239,<|endoftext|>The first issue on a new generation o...
XL,49.961143493652344,538,"<|endoftext|>MORGAN HILL TWP., N.J.; AURIC B. MARS..."
XL,16.04008674621582,291,"<|endoftext|>(Adds quote, clarification) by RICCAR..."
XL,34.38136672973633,429,"<|endoftext|>MentalHealthCares of Colorado

For Me..."
XL,32.55398178100586,656,"<|endoftext|>Halo 2's ""Game of the Year Edition"": ..."
XL,43.35078430175781,698,<|endoftext|>This story has nothing to do with the...
XL,56.52606201171875,310,"<|endoftext|>
Brett Carlsen has an eye operation a..."
XL,29.24559211730957,312,"<|endoftext|>From The Infosphere, the Futurama Wik..."
XL,37.571739196777344,688,<|endoftext|>1. For every 10 yards that he can tak...
XL,26.6723575592041,682,"<|endoftext|>Marijuana and HIV

Summary

People be..."
XL,37.93678665161133,742,<|endoftext|>HARBAIKH – An eight and a half foot-s...
XL,42.153804779052734,679,"<|endoftext|>
By Michael Hurley, ESPN NFL analyst...."
XL,39.73106002807617,737,<|endoftext|>Hackers are taking advantage of a new...
XL,34.38801193237305,715,<|endoftext|>There is evidence of an over-saturate...
XL,36.073970794677734,705,"<|endoftext|>Lack Of Work And Family Is Bad, A Loo..."
XL,48.34873962402344,662,<|endoftext|>There's only 5 hours of sun during th...
XL,47.115848541259766,652,<|endoftext|>As a writer we have something called ...
XL,45.91268539428711,702,"<|endoftext|>If you live with OCD, you've had OCD ..."
XL,41.382877349853516,642,"<|endoftext|>Caitlyn, right; Emily Pries and Kate,..."
XL,36.07931137084961,645,<|endoftext|>We are in love! If there really were ...
XL,49.21001434326172,274,<|endoftext|>In order to increase your awareness o...
XL,41.35859680175781,667,<|endoftext|>You should know about this before rea...
XL,29.768980026245117,671,<|endoftext|>Lifelaunch is an annual festival devo...
XL,51.16954040527344,661,"<|endoftext|>
""It sounds to him to get out at the ..."
XL,45.58403015136719,712,<|endoftext|>We need better communication with a m...
XL,39.29082107543945,645,"<|endoftext|>Crowd Funding, especially IndieGogo i..."
XL,41.2210807800293,681,<|endoftext|>When Google and Amazon released their...
XL,27.13365364074707,744,"<|endoftext|>PURPOSE OF REVIEW:

The potential of ..."
XL,49.990394592285156,571,<|endoftext|>Laravel Forge (5 minute build instruc...
XL,45.42448425292969,255,"<|endoftext|>There's been so much hype, even if on..."
XL,34.770687103271484,721,"<|endoftext|>LAST year an Israeli couple, Erez and..."
XL,27.109800338745117,706,<|endoftext|>There are those whose work on space m...
XL,39.59600830078125,600,"<|endoftext|>On May 22 2014 08:58 iCCup wrote:


O..."
XL,45.6917839050293,609,<|endoftext|>Lets play video Games that really let...
XL,54.99376678466797,651,<|endoftext|>Image source: http://chaosvnictorybri...
XL,2.7213330268859863,207,"<|endoftext|>Rudy Ray Moore

When Hollywood shut h..."
